,original_title,description
3197,11/22/63,"Life can turn on a dime--or stumble into the extraordinary, as it does for Jake Epping, a high school English teacher in Lisbon Falls, Maine. While grading essays by his GED students, Jake reads a gruesome, enthralling piece penned by janitor Harry Dunning: fifty years ago, Harry somehow survived his father's sledgehammer slaughter of his entire family. Jake is blown away...but an even more bizarre secret comes to light when Jake's friend Al, owner of the local diner, enlists Jake to take over the mission that has become his obsession--to prevent the Kennedy assassination. How? By stepping through a portal in the diner's storeroom, and into the era of Ike and Elvis, of big American cars, sock hops, and cigarette smoke... Finding himself in warmhearted Jodie, Texas, Jake begins a new life. But all turns in the road lead to a troubled loner named Lee Harvey Oswald. The course of history is about to be rewritten...and become heart-stoppingly suspenseful."
5456,Neverwhere,"Under the streets of London there's a place most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet. This is the city of the people who have fallen between the cracks.
Richard Mayhew, a young businessman, is going to find out more than enough about this other London. A single act of kindness catapults him out of his workday existence and into a world that is at once eerily familiar and utterly bizarre. And a strange destiny awaits him down here, beneath his native city: neverwhere."
1582,We Were Liars,"A beautiful and distinguished family.
A private island.
A brilliant, damaged girl; a passionate, political boy.
A group of four friends--the Liars--whose friendship turns destructive.
A revolution. An accident. A secret.
Lies upon lies.
True love.
The truth.
We Were Liars is a modern, sophisticated suspense novel from New York Times bestselling author, National Book Award finalist, and Printz Award honoree E. Lockhart.
Read it.
And if anyone asks you how it ends, just LIE."
5071,Tintenherz,"Alternate cover edition: 
Twelve-year-old Meggie learns that her father, who repairs and binds books for a living, can ""read"" fictional characters to life when one of those characters abducts them and tries to force him into service.
Characters from books literally leap off the page in this engrossing fantasy. Meggie has had her father to herself since her mother went away when she was young. Mo taught her to read when she was five, and the two share a mutual love of books. He can ""read"" characters out of books. When she was three, he read aloud from a book called Inkheart and released characters into the real world. At the same time, Meggie's mother disappeared into the story. This ""story within a story"" will delight not just fantasy fans, but all readers who like an exciting plot with larger-than-life characters."
4292,Graceling,"Katsa has been able to kill a man with her bare hands since she was eight - she's a Graceling, one of the rare people in her land born with an extreme skill. And now she is forced to work as the king's thug. But she never expects to fall in love with beautiful Prince Po...
Katsa has been able to kill a man with her bare hands since she was eight--she's a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king's thug.
She never expects to fall in love with beautiful Prince Po.
She never expects to learn the truth behind her Grace--or the terrible secret that lies hidden far away . . . a secret that could destroy all seven kingdoms with words alone.
With elegant, evocative prose and a cast of unforgettable characters, debut author Kristin Cashore creates a mesmerizing world, a death-defying adventure, and a heart-racing romance that will consume you, hold you captive, and leave you wanting more."
5317,The Bad Beginning,"Dear Reader,
I'm sorry to say that the book you are holding in your hands is extremely unpleasant. It tells an unhappy tale about three very unlucky children. Even though they are charming and clever, the Baudelaire siblings lead lives filled with misery and woe. From the very first page of this book when the children are at the beach and receive terrible news, continuing on through the entire story, disaster lurks at their heels. One might say they are magnets for misfortune.
In this short book alone, the three youngsters encounter a greedy and repulsive villain, itchy clothing, a disastrous fire, a plot to steal their fortune, and cold porridge for breakfast.
It is my sad duty to write down these unpleasant tales, but there is nothing stopping you from putting this book down at once and reading something happy, if you prefer that sort of thing.
With all due respect,
Lemony Snicket"
5893,Atlas Shrugged,"This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?
Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world's motor -- and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story.
Tremendous in its scope, this novel presents an astounding panorama of human life -- from the productive genius who becomes a worthless playboy -- to the great steel industrialist who does not know that he is working for his own destruction -- to the philosopher who becomes a pirate -- to the composer who gives up his career on the night of his triumph -- to the woman who runs a transcontinental railroad -- to the lowest track worker in her Terminal tunnels.
You must be prepared, when you read this novel, to check every premise at the root of your convictions.
This is a mystery story, not about the murder -- and rebirth -- of man's spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, thatis the first of your premises to check."
5564,The Pelican Brief,"In suburban Georgetown a killer's Reeboks whisper on the front floor of a posh home... In a seedy D.C. porno house a patron is swiftly garroted to death... The next day America learns that two of its Supreme Court justices have been assassinated. And in New Orleans, a young law student prepares a legal brief... To Darby Shaw it was no more than a legal shot in the dark, a brilliant guess. To the Washington establishment it was political dynamite. Suddenly Darby is witness to a murder -- a murder intended for her. Going underground, she finds there is only one person she can trust -- an ambitious reporter after a newsbreak hotter than Watergate -- to help her piece together the deadly puzzle. Somewhere between the bayous of Louisiana and the White House's inner sanctums, a violent cover-up is being engineered. For someone has read Darby's brief. Someone who will stop at nothing to destroy the evidence of an unthinkable crime."
1816,The 5th Wave,"After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.
Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive, Cassie believes, until she meets Evan Walker. Beguiling and mysterious, Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair, between defiance and surrender, between life and death. To give up or to get up."
2606,The Light Between Oceans,"A captivating, beautiful, and stunningly accomplished debut novel that opens in 1918 Australia - the story of a lighthouse keeper and his wife who make one devastating choice that forever changes two worlds.
A captivating, beautiful, and stunningly accomplished debut novel that opens in 1918 Australia - the story of a lighthouse keeper and his wife who make one devastating choice that forever changes two worlds.
Australia, 1926. After four harrowing years fighting on the Western Front, Tom Sherbourne returns home to take a job as the lighthouse keeper on Janus Rock, nearly half a day's journey from the coast. To this isolated island, where the supply boat comes once a season and shore leaves are granted every other year at best, Tom brings a young, bold, and loving wife, Isabel. Years later, after two miscarriages and one stillbirth, the grieving Isabel hears a baby's cries on the wind. A boat has washed up onshore carrying a dead man and a living baby.
Tom, whose records as a lighthouse keeper are meticulous and whose moral principles have withstood a horrific war, wants to report the man and infant immediately. But Isabel has taken the tiny baby to her breast. Against Tom's judgment, they claim her as their own and name her Lucy. When she is two, Tom and Isabel return to the mainland and are reminded that there are other people in the world. Their choice has devastated one of them.
M. L. Stedman's mesmerizing, beautifully written debut novel seduces us into accommodating Isabel's decision to keep this ""gift from God."" And we are swept into a story about extraordinarily compelling characters seeking to find their North Star in a world where there is no right answer, where justice for one person is another's tragic loss."
4312,Shadow Kiss,"WHAT IF FOLLOWING HER HEART MEANS ROSE COULD LOSE HER BEST FRIEND FOREVER?
Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires - the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a Dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.
Rose knows it is forbidden to love another guardian. Her best friend, Lissa - the last Dragomir princess - must always come first. Unfortunately, when it comes to gorgeous Dimitri Belikov, some rules are meant to be broken...
Then a strange darkness begins to grow in Rose's mind, and ghostly shadows warn of a terrible evil drawing nearer to the Academy's iron gates. The immortal undead are closing in, and they want vengeance for the lives Rose has stolen. In a heart-stopping battle to rival her worst nightmares, Rose will have to choose between life, love, and the two people who matter most... but will her choice mean that only one can survive?"
5481,Kiss the Girls,"In Los Angeles, a reporter investigating a series of murders is killed. In Chapel Hill, North Carolina, a beautiful medical intern suddenly disappears. In Washington D.C. Alex Cross is back to solve the most baffling and terrifying murder case ever. Two clever pattern killers are collaborating, cooperating, competing - and they are working coast to coast."
3547,Safe Haven,"Love hurts. There is nothing as painful as heartbreak. But in order to learn to love again, you must learn to trust again.
When a mysterious young woman named Katie appears in the small North Carolina town of Southport, her sudden arrival raises questions about her past. Beautiful yet self-effacing, Katie seems determined to avoid forming personal ties until a series of events draws her into two reluctant relationships: one with Alex, a widowed store owner with a kind heart and two young children; and another with her plainspoken single neighbor, Jo. Despite her reservations, Katie slowly begins to let down her guard, putting down roots in the close-knit community and becoming increasingly attached to Alex and his family.
But even as Katie begins to fall in love, she struggles with the dark secret that still haunts and terrifies her . . . a past that set her on a fearful, shattering journey across the country, to the sheltered oasis of Southport. With Jo's empathic and stubborn support, Katie eventually realizes that she must choose between a life of transient safety and one of riskier rewards . . . and that in the darkest hour, love is the only true safe haven."
2645,"Where'd You Go, Bernadette","A compulsively readable and touching novel about misplaced genius and a mother and daughter's role in an absurd world.
Bernadette Fox is notorious. To her Microsoft-guru husband, she's a fearlessly opinionated partner; to fellow private-school mothers in Seattle, she's a disgrace; to design mavens, she's a revolutionary architect, and to 15-year-old Bee, she is a best friend and, simply, Mom.
Then Bernadette disappears. It began when Bee aced her report card and claimed her promised reward: a family trip to Antarctica. But Bernadette's intensifying allergy to Seattle - and people in general - has made her so agoraphobic that a virtual assistant in India now runs her most basic errands. A trip to the end of the earth is problematic.
To find her mother, Bee compiles email messages, official documents, secret correspondence - creating a compulsively readable and touching novel about misplaced genius and a mother and daughter's role in an absurd world."
3717,I Am Number Four,"Nine of us came here. We look like you. We talk like you. We live among you. But we are not you. We can do things you dream of doing. We have powers you dream of having. We are stronger and faster than anything you have ever seen. We are the superheroes you worship in movies and comic books--but we are real.
Our plan was to grow, and train, and become strong, and become one, and fight them. But they found us and started hunting us first. Now all of us are running. Spending our lives in shadows, in places where no one would look, blending in. We have lived among you without you knowing.
But theyknow.
They caught Number One in Malaysia.
Number Two in England.
And Number Three in Kenya.
They killed them all.
I am Number Four.
I am next."
5826,The Godfather,"The Godfather--the epic tale of crime and betrayal that became a global phenomenon.
Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and the allegiance to family--these are the themes that have resonated with millions of readers around the world and made The Godfather the definitive novel of the violent subculture that, steeped in intrigue and controversy, remains indelibly etched in our collective consciousness.
~penguin.com"
4316,Frostbite,"Rose loves Dimitri, Dimitri might love Tasha, and Mason would die to be with Rose...
It's winter break at St. Vladimir's, but Rose is feeling anything but festive. A massive Strigoi attack has put the school on high alert, and now the Academy's crawling with Guardians--including Rose's hard-hitting mother, Janine Hathaway. And if hand-to-hand combat with her mom wasn't bad enough, Rose's tutor Dimitri has his eye on someone else, her friend Mason's got a huge crush on her, and Rose keeps getting stuck in Lissa's head while she's making out with her boyfriend, Christian! The Strigoi are closing in, and the Academy's not taking any risks... This year, St. Vlad's annual holiday ski trip is mandatory.
But the glittering winter landscape and the posh Idaho resort only create the illusion of safety. When three friends run away in an offensive move against the deadly Strigoi, Rose must join forces with Christian to rescue them. But heroism rarely comes without a price..."
6066,The Strange Case of Dr Jekyll and Mr Hyde,"In this harrowing tale of good and evil, the mild-mannered Dr. Jekyll develops a potion that unleashes his secret, inner persona--the loathsome, twisted Mr. Hyde."
3020,The Death Cure,"It's the end of the line.
WICKED has taken everything from Thomas: his life, his memories, and now his only friends--the Gladers. But it's finally over. The trials are complete, after one final test.
Will anyone survive?
What WICKED doesn't know is that Thomas remembers far more than they think. And it's enough to prove that he can't believe a word of what they say.
The truth will be terrifying.
Thomas beat the Maze. He survived the Scorch. He'll risk anything to save his friends. But the truth might be what ends it all.
The time for lies is over."
6092,Oliver Twist,"You can find an alternative cover edition with the same ISBN .
'Let him feel that he is one of us; once fill his mind with the idea that he has been a thief, and he's ours, - ours for his life!'
The story of the orphan Oliver, who runs away from the workhouse only to be taken in by a den of thieves, shocked readers when it was first published. Dickens's tale of childhood innocence beset by evil depicts the dark criminal underworld of a London peopled by vivid and memorable characters -- the arch-villain Fagin, the artful Dodger, the menacing Bill Sikes and the prostitute Nancy. Combining elements of Gothic Romance, the Newgate Novel and popular melodrama, in Oliver TwistDickens created an entirely new kind of fiction, scathing in its indictment of a cruel society, and pervaded by an unforgettable sense of threat and mystery.
This is the first critical edition to use the serial text of 1837-9, presenting Oliver Twistas it appeared to its earliest readers. It includes Dickens's 1841 introduction and 1850 preface, the original illustrations and a glossary of contemporary slang."
2306,The Casual Vacancy,"A BIG NOVEL ABOUT A SMALL TOWN ...
When Barry Fairbrother dies in his early forties, the town of Pagford is left in shock.
Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty facade is a town at war.
Rich at war with poor, teenagers at war with their parents, wives at war with their husbands, teachers at war with their pupils ... Pagford is not what it first seems.
And the empty seat left by Barry on the parish council soon becomes the catalyst for the biggest war the town has yet seen. Who will triumph in an election fraught with passion, duplicity and unexpected revelations?"
5319,White Oleander,"Everywhere hailed as a novel of rare beauty and power, White Oleandertells the unforgettable story of Ingrid, a brilliant poet imprisoned for murder, and her daughter, Astrid, whose odyssey through a series of Los Angeles foster homes--each its own universe, with its own laws, its own dangers, its own hard lessons to be learned--becomes a redeeming and surprising journey of self-discovery."
4533,Nineteen Minutes,"In nineteen minutes, you can mow the front lawn, color your hair, watch a third of a hockey game. In nineteen minutes, you can bake scones or get a tooth filled by a dentist; you can fold laundry for a family of five....In nineteen minutes, you can stop the world, or you can just jump off it. In nineteen minutes, you can get revenge.
Sterling is a small, ordinary New Hampshire town where nothing ever happens -- until the day its complacency is shattered by a shocking act of violence. In the aftermath, the town's residents must not only seek justice in order to begin healing but also come to terms with the role they played in the tragedy. For them, the lines between truth and fiction, right and wrong, insider and outsider have been obscured forever. Josie Cormier, the teenage daughter of the judge sitting on the case, could be the state's best witness, but she can't remember what happened in front of her own eyes. And as the trial progresses, fault lines between the high school and the adult community begin to show, destroying the closest of friendships and families.
Nineteen Minutes is New York Times bestselling author Jodi Picoult's most raw, honest, and important novel yet. Told with the straightforward style for which she has become known, it asks simple questions that have no easy answers: Can your own child become a mystery to you? What does it mean to be different in our society? Is it ever okay for a victim to strike back? And who -- if anyone -- has the right to judge someone else?"
3060,A Discovery of Witches,"A richly inventive novel about a centuries-old vampire, a spellbound witch, and the mysterious manuscript that draws them together.
Deep in the stacks of Oxford's Bodleian Library, young scholar Diana Bishop unwittingly calls up a bewitched alchemical manuscript in the course of her research. Descended from an old and distinguished line of witches, Diana wants nothing to do with sorcery, so after a furtive glance and a few notes, she banishes the book to the stacks, but her discovery sets a fantastical underworld stirring, and a horde of daemons, witches, and vampires soon descends upon the library. Diana has stumbled upon a coveted treasure lost for centuries--and she's the only creature who can break its spell."
1985,Clockwork Princess,"Danger and betrayal, love and loss, secrets and enchantment are woven together in the breathtaking finale to the #1 New York Times bestselling Infernal Devices Trilogy, prequel to the internationally bestselling Mortal Instruments series.
THE INFERNAL DEVICES WILL NEVER STOP COMING
A net of shadows begins to tighten around the Shadowhunters of the London Institute. Mortmain plans to use his Infernal Devices, an army of pitiless automatons, to destroy the Shadowhunters. He needs only one last item to complete his plan: he needs Tessa Gray.
Charlotte Branwell, head of the London Institute, is desperate to find Mortmain before he strikes. But when Mortmain abducts Tessa, the boys who lay equal claim to her heart, Jem and Will, will do anything to save her. For though Tessa and Jem are now engaged, Will is as much in love with her as ever.
As those who love Tessa rally to rescue her from Mortmain's clutches, Tessa realizes that the only person who can save her is herself. But can a single girl, even one who can command the power of angels, face down an entire army?
Danger and betrayal, secrets and enchantment, and the tangled threads of love and loss intertwine as the Shadowhunters are pushed to the very brink of destruction in the breathtaking conclusion to the Infernal Devices trilogy."
5830,Do Androids Dream of Electric Sheep?,"It was January 2021, and Rick Deckard had a license to kill.
Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!"
5790,Salem's Lot,"Something strange is going on in Jerusalem's Lot ... but no one dares to talk about it. By day, 'Salem's Lot is a typical modest New England town; but when the sun goes down, evil roams the earth. The devilishly sweet insistent laughter of a child can be heard echoing through the fields, and the presence of silent looming spirits can be felt lurking right outside your window. Stephen King brings his gruesome imagination to life in this tale of spine tingling horror."
3540,The Red Pyramid,"Since their mother's death, Carter and Sadie have become near strangers. While Sadie has lived with her grandparents in London, her brother has traveled the world with their father, the brilliant Egyptologist, Dr. Julius Kane.
One night, Dr. Kane brings the siblings together for a ""research experiment"" at the British Museum, where he hopes to set things right for his family. Instead, he unleashes the Egyptian god Set, who banishes him to oblivion and forces the children to flee for their lives.
Soon, Sadie and Carter discover that the gods of Egypt are waking, and the worst of them --Set-- has his sights on the Kanes. To stop him, the siblings embark on a dangerous journey across the globe - a quest that brings them ever closer to the truth about their family and their links to a secret order that has existed since the time of the pharaohs."
5170,1st To Die,"James Patterson, bestselling author of the Alex Cross novels Along Came a Spider, Kiss the Girls, and Pop Goes the Weasel, offers the first of a new series dubbed The Women's Murder Club, featuring a four-woman team that occasionally works outside the system. None of the gritty darkness or frenzied action is lost in 1st to Die, although the female protagonists offer an even deeper emotional context to this suspense thriller.
Inspector Lindsay Boxer of the San Francisco Police Department suddenly finds herself in the middle of two horrifying situations: The first is that she's just learned she has an often-fatal blood disease. The second is a double homicide case she is now heading up that involves the murder of newlyweds on their wedding night. Burdened with Chris Raleigh, a new partner reassigned from the mayor's office, Lindsay finds that she has too much to deal with and turns to her best friend, Claire, the head ME on the case. Claire offers helpful advice and human, friendly contact amid a job filled with violence, cruelty, and fear.
Soon a fledgling newspaper reporter, Cindy, makes contact with Lindsay looking for a career-making story. Although Lindsay can't officially comment on the case, the two women form a rapport, and Cindy joins Lindsay and Claire for their weekly meeting. When a second pair of newlyweds is murdered, and later a third, the investigation leads to a prominent crime writer, Nicholas Jenks, who has a history of spousal abuse and a predilection for kinky, dangerous sex games. With the help of an understanding assistant D.A., Jill Bernhardt, Lindsay tries to make a case against Jenks, who even had an affair with one of the slain women. Eventually Jill joins the Murder Club, and the four ladies share private interdepartmental information in an effort to track and stop the killer before he strikes again.
The major subplot -- Lindsay's facing up to her illness even while she learns to fall in love again -- carefully compensates for the novel's coarse scenes of brutality. Lindsay Boxer is't merely an obsessed cop trailing a maniac; she's also a terrified woman confronting the onslaught of disease. The story lines balance out to show us the true mettle of someone who puts the safety of others before her own.
Again, Patterson's skill for producing furiously paced fiction are evident as the novel breezes by rapidly. The short chapters keep the narrative leaping with increasingly taut plot elements, but there's an emotional commitment that makes our protagonist even more amiable and involving. 1st to Die is a novel that works as an intense series of character portraits that will leave the reader touched and delighted.
--Tom Piccirilli"
4047,Blood Promise,"Rose Hathaway's life will never be the same.
The recent attack on St. Vladimir's Academy devastated the entire Moroi world. Many are dead. And, for the few victims carried off by Strigoi, their fates are even worse. A rare tattoo now adorns Rose's neck, a mark that says she's killed far too many Strigoi to count. But only one victim matters ... Dimitri Belikov. Rose must now choose one of two very different paths: honoring her life's vow to protect Lissa--her best friend and the last surviving Dragomir princess--or, dropping out of the Academy to strike out on her own and hunt down the man she loves. She'll have to go to the ends of the earth to find Dimitri and keep the promise he begged her to make. But the question is, when the time comes, will he want to be saved?
Now, with everything at stake--and worlds away from St. Vladimir's and her unguarded, vulnerable, and newly rebellious best friend--can Rose find the strength to destroy Dimitri? Or, will she sacrifice herself for a chance at eternal love?"
3719,Before I Fall,"With this stunning debut novel, New York Timesbestselling author Lauren Oliver emerged as one of today's foremost authors of young adult fiction. Like Jay Asher's Thirteen Reasons Whyand Gayle Forman's If I Stay, Before I Fallraises thought-provoking questions about love, death, and how one person's life can affect so many others.
For popular high school senior Samantha Kingston, February 12--""Cupid Day""--should be one big party, a day of valentines and roses and the privileges that come with being at the top of the social pyramid. And it is...until she dies in a terrible accident that night.
However, she still wakes up the next morning. In fact, Sam lives the last day of her life seven times, until she realizes that by making even the slightest changes, she may hold more power than she ever imagined.
Named to numerous state reading lists, this novel was also recognized as a Best Book of the Year by Amazon.com, Barnes & Noble, The Daily Beast, NPR, and Publishers Weekly. It has been optioned for film by Fox 2000 Pictures.
Supports the Common Core State Standards."
4128,Evermore,"The first book in Alyson Noel's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...
After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school -- but everything changes when she meets Damen Auguste.
Damen is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her head - wielding a magic so intense, it's as though he can peer straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. And she has no idea just who he really is - or whathe is. The only thing she knows to be true is that she's falling deeply and helplessly in love with him."
6096,Northanger Abbey,"Northanger Abbeyis often referred to as Jane Austen's Gothic parody. Decrepit castles, locked rooms, mysterious chests, cryptic notes, and tyrannical fathers give the story an uncanny air, but one with a decidedly satirical twist.
The story's heroine is Catherine Morland, an innocent seventeen-year-old woman from a country parsonage. While spending a few weeks in Bath with a family friend, Catherine meets and falls in love with Henry Tilney, who invites her to visit his family estate, Northanger Abbey. Once there, Catherine, a great reader of Gothic thrillers, lets the shadowy atmosphere of the old mansion fill her mind with terrible suspicions. What is the mystery surrounding the death of Henry's mother? Is the family concealing a terrible secret within the elegant rooms of the Abbey? Can she trust Henry, or is he part of an evil conspiracy? Catherine finds dreadful portents in the most prosaic events, until Henry persuades her to see the peril in confusing life with art."
5361,The Pact,"For eighteen years the Hartes and the Golds have lived next door to each other, sharing everything from Chinese food to chicken pox to carpool duty-- they've grown so close it seems they have always been a part of each other's lives. Parents and children alike have been best friends, so it's no surprise that in high school Chris and Emily's friendship blossoms into something more. They've been soul mates since they were born.
So when midnight calls from the hospital come in, no one is ready for the appalling truth: Emily is dead at seventeen from a gunshot wound to the head. There's a single unspent bullet in the gun that Chris took from his father's cabinet-- a bullet that Chris tells police he intended for himself. But a local detective has doubts about the suicide pact that Chris has described."
3591,Crescendo,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.
Nora would have hardly noticed Scott Parnell, an old family friend who has moved back to town, if Patch hadn't been acting so distant. Even with Scott's totally infuriating attitude, Nora finds herself drawn to him - despite her lingering feelings that he is hiding something.
If that weren't enough, Nora is haunted by images of her murdered father, and comes to question whether her Nephilim bloodline has anything to do with his death. Desperate to figure out what happened, she puts herself in increasingly dangerous situations to get the answer. But maybe some things are better left buried, because the truth could destroy everything - and everyone - she trusts."
3568,Spirit Bound,"After a long and heartbreaking journey to Dimitri's birthplace in Siberia, Rose Hathaway has finally returned to St. Vladimir's--and to her best friend, Lissa. It is nearly graduation, and the girls can't wait for their real lives beyond the Academy's iron gates to begin. But Rose's heart still aches for Dimitri, and she knows he's out there, somewhere."
3055,Daughter of Smoke & Bone,"Around the world, black hand prints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky.
In a dark and dusty shop, a devil's supply of human teeth grows dangerously low.
And in the tangled lanes of Prague, a young art student is about to be caught up in a brutal otherworldly war.
Meet Karou. She fills her sketchbooks with monsters that may or may not be real, she's prone to disappearing on mysterious ""errands"", she speaks many languages - not all of them human - and her bright blue hair actuallygrows out of her head that color. Who is she? That is the question that haunts her, and she's about to find out.
When beautiful, haunted Akiva fixes fiery eyes on her in an alley in Marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. But will Karou live to regret learning the truth about herself?"
4769,The Thirteenth Tale,"All children mythologize their birth...So begins the prologue of reclusive author Vida Winter's collection of stories, which are as famous for the mystery of the missing thirteenth tale as they are for the delight and enchantment of the twelve that do exist.
The enigmatic Winter has spent six decades creating various outlandish life histories for herself -- all of them inventions that have brought her fame and fortune but have kept her violent and tragic past a secret. Now old and ailing, she at last wants to tell the truth about her extraordinary life. She summons biographer Margaret Lea, a young woman for whom the secret of her own birth, hidden by those who loved her most, remains an ever-present pain. Struck by a curious parallel between Miss Winter's story and her own, Margaret takes on the commission.
As Vida disinters the life she meant to bury for good, Margaret is mesmerized. It is a tale of gothic strangeness featuring the Angelfield family, including the beautiful and willful Isabelle, the feral twins Adeline and Emmeline, a ghost, a governess, a topiary garden and a devastating fire.
Margaret succumbs to the power of Vida's storytelling but remains suspicious of the author's sincerity. She demands the truth from Vida, and together they confront the ghosts that have haunted them while becoming, finally, transformed by the truth themselves.
The Thirteenth Tale is a love letter to reading, a book for the feral reader in all of us, a return to that rich vein of storytelling that our parents loved and that we loved as children. Diane Setterfield will keep you guessing, make you wonder, move you to tears and laughter and, in the end, deposit you breathless yet satisfied back upon the shore of your everyday life."
5705,Das Parfum. Die Geschichte eines Morders,"An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion -- his sense of smell -- leads to murder.
In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift -- an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume"" -- the scent of a beautiful young virgin. Told with dazzling narrative brillance, Perfume is a hauntingly powerful tale of murder and sensual depravity.
Translated from the German by John E. Woods."
5756,Il nome della rosa,"The year is 1327. Franciscans in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns detective. His tools are the logic of Aristotle, the theology of Aquinas, the empirical insights of Roger Bacon - all sharpened to a glistening edge by wry humor and a ferocious curiosity. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey, where ""the most interesting things happen at night."""
6063,A Study in Scarlet,"'There's a scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it, and isolate it, and expose every inch of it.'
From the moment Dr. John Watson takes lodgings in Baker Street with the consulting detective Sherlock Holmes, he becomes intimately acquainted with the bloody violence and frightening ingenuity of the criminal mind.
In A Study in Scarlet, Holmes and Watson's first mystery, the pair are summoned to a south London house where they find a dead man whose contorted face is a twisted mask of horror. The body is unmarked by violence but on the wall a mysterious word has been written in blood.
The police are baffled by the crime and its circumstances. But when Sherlock Holmes applies his brilliantly logical mind to the problem he uncovers a tragic tale of love and deadly revenge..."
5252,Storm Front,"HARRY DRESDEN -- WIZARD
Lost Items Found. Paranormal Investigations. Consulting. Advice. Reasonable Rates. No Love Potions, Endless Purses, or Other Entertainment.
Harry Dresden is the best at what he does. Well, technically, he's the onlyat what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For the ""everyday"" world is actually full of strange and magical things--and most don't play well with humans. That's where Harry comes in. Takes a wizard to catch a--well, whatever. There's just one problem. Business, to put it mildly, stinks.
So when the police bring him in to consult on a grisly double murder committed with black magic, Harry's seeing dollar signs. But where there's black magic, there's a black mage behind it. And now that mage knows Harry's name. And that's when things start to get interesting.
Magic - it can get a guy killed."
